,ticker,name,common_name,sector
394,ICE,INTRCTNTL EXCH,Intercontinental Exchange Inc,30202015.0
395,ICUI.O,ICU MEDICAL IN,ICU Medical Inc,20102015.0
396,IDA,IDACORP INC,Idacorp Inc,65101015.0
397,IDXX.O,IDEXX LABS,IDEXX Laboratories Inc,20102010.0
398,IEX,IDEX,IDEX Corp,50202020.0
399,IFF,INTL FLAV & FR,International Flavors & Fragrances Inc,55201020.0
400,IIVI.O,II-VI INC,II-VI Inc,10102020.0
401,ILMN.O,ILLUMINA INC,Illumina Inc,20103010.0
402,INCY.O,INCYTE CORP,Incyte Corp,20103010.0
403,INFO.K,IHS MARKIT LTD,IHS Markit Ltd,30202000.0
404,INGR.K,INGREDION INCO,Ingredion Inc,45102030.0
405,INT,WORLD FUEL SVC,World Fuel Services Corp,60101020.0
406,INTC.O,INTEL CORP,Intel Corp,10102010.0
407,INTU.O,INTUIT INC,Intuit Inc,10101015.0
408,IP,INTNL PAPER CO,International Paper Co,55101015.0
409,IPG,INTERPBLIC GRP,Interpublic Group of Companies Inc,40301020.0
410,IPGP.O,IPG PHOTONICS,IPG Photonics Corp,10102020.0
411,IQV,IQVIA HOLDINGS,IQVIA Holdings Inc,20101025.0
412,IR,INGERSOL RND O,Ingersoll Rand Inc,50204000.0
413,IRDM.O,IRIDIUM COMM I,Iridium Communications Inc,15102015.0
414,IRM,IRON MOUNTAIN,Iron Mountain Inc,35102070.0
415,ISRG.O,INTUITIVE SURG,Intuitive Surgical Inc,20102010.0
416,IT,GARTNER,Gartner Inc,10101010.0
417,ITT,ITT INC ORD,ITT Inc,50203000.0
418,ITW,ILLINOIS TOOL ,Illinois Tool Works Inc,50203000.0
419,IVZ,INVESCO LTD,Invesco Ltd,30202010.0
420,J,JACOB ENGNRG O,Jacobs Engineering Group Inc,50101015.0
421,JACK.O,JACK IN THE BO,Jack in the Box Inc,40501040.0
422,JAZZ.O,JAZZ PHARMA PL,Jazz Pharmaceuticals PLC,20103015.0
423,JBGS.K,JBG SMITH PROP,JBG SMITH Properties,35102030.0
424,JBHT.O,J.B. HUNT TRAN,J B Hunt Transport Services Inc,50206010.0
425,JBL,JABIL INC ORD,Jabil Inc,10102015.0
426,JBLU.O,JETBLUE AIRWAY,JetBlue Airways Corp,40501010.0
427,JCI,JOHNSN CNTRL I,Johnson Controls International PLC,50202020.0
428,JCOM.O,J2 GLOBAL INC,j2 Global Inc,10101020.0
429,JD.O,JD.COM INC ADR,JD.Com Inc,40401010.0
430,JEF,JEFFERES FINAN,Jefferies Financial Group Inc,30202000.0
431,JHG,JANUS HNDRSN G,Janus Henderson Group PLC,30202010.0
432,JKHY.O,JACK HENRY ASO,Jack Henry & Associates Inc,50205015.0
433,JLL,JONES LANG LAS,Jones Lang LaSalle Inc,35101015.0
434,JNJ,JOHNSON JOHNSO,Johnson & Johnson,20103015.0
435,JNPR.K,JUNIPER NETWRK,Juniper Networks Inc,15101010.0
436,JPM,JPMORGAN CHASE,JPMorgan Chase & Co,30101010.0
437,JWa,JOHN WILEY A,John Wiley & Sons Inc,40301030.0
438,JWN,NORDSTROM INC,Nordstrom Inc,40401020.0
439,K,KELLOGG CO,Kellogg Co,45102020.0
440,KAR,KAR AUCTION SE,KAR Auction Services Inc,40201070.0
441,KBH,KB HOME,KB Home,40202010.0
442,KBR,KBR INC,KBR Inc,50101015.0
443,KDP.O,KRIG DR PPPR O,Keurig Dr Pepper Inc,45101020.0
444,KEX,KIRBY CORP,Kirby Corp,50206030.0
445,KEY,KEYCORP NEW,KeyCorp,30101010.0
446,KEYS.K,KEYSIGHT TCH I,Keysight Technologies Inc,50202025.0
447,KHC.O,THE KRFT HNZ C,Kraft Heinz Co,45102020.0
448,KIM,KIMCO REALTY C,Kimco Realty Corp,35102045.0
449,KLAC.O,KLA CORP,KLA Corp,10102020.0
450,KMB,KIMBERLY-CLARK,Kimberly-Clark Corp,45201020.0
451,KMI,KINDER MORGAN,Kinder Morgan Inc,60101035.0
452,KMPR.K,KEMPER CORPORA,Kemper Corp,30302010.0
453,KMT,KENNAMETAL INC,Kennametal Inc,50204000.0
454,KMX,CARMAX INC,Carmax Inc,40401030.0
455,KNSL.O,KINSALE CAPITA,Kinsale Capital Group Inc,30302025.0
456,KNX,KNGHT SWFT TRN,Knight-Swift Transportation Holdings Inc,50206010.0
457,KO,COCA-COLA CO,Coca-Cola Co,45101020.0
458,KR,KROGER CO,Kroger Co,45201010.0
459,KRC,KILROY REALTY,Kilroy Realty Corp,35102030.0
460,KSS,KOHL'S CRP,Kohls Corp,40401020.0
461,KSU,KANSAS CITY SO,Kansas City Southern,50206020.0
462,L,LOEWS CORP,Loews Corp,30302025.0
463,LAD,LITHIA MOTORS,Lithia Motors Inc,40401030.0
464,LAMR.O,LAMAR ADVERT O,Lamar Advertising Co,35102070.0
465,LANC.O,LANCASTER CLNY,Lancaster Colony Corp,45102020.0
466,LB,L BRANDS INC,L Brands Inc,40401020.0
467,LDOS.K,LEIDOS HLDGS I,Leidos Holdings Inc,10101010.0
468,LEA,LEAR CORP,Lear Corp,40101025.0
469,LECO.O,LINCOLN ELEC,Lincoln Electric Holdings Inc,50204040.0
470,LEG,LEGGETT& PLATT,Leggett & Platt Inc,40202015.0
471,LEN,LENNAR CP CL A,Lennar Corp,40202010.0
472,LFUS.O,LITTELFUSE,Littelfuse Inc,50202010.0
473,LGND.O,LIGAND PHARMA,Ligand Pharmaceuticals Inc,20103010.0
474,LH,LAB CRP OF AME,Laboratory Corporation of America Holdings,20102020.0
475,LHCG.O,LHC GROUP,LHC Group Inc,20101025.0
476,LHX,L3HARRIS TCH I,L3harris Technologies Inc,15101010.0
477,LII,LENNOX INTL IN,Lennox International Inc,50101025.0
478,LIN,LINDE PLC,Linde PLC,55201000.0
479,LITE.O,LUMENTUM HOLDN,Lumentum Holdings Inc,15101010.0
480,LIVN.O,LIVANOVA PLC,LivaNova PLC,20102010.0
481,LKQ.O,LKQ CORP,LKQ Corp,40101025.0
482,LLY,ELI LILLY,Eli Lilly and Co,20103015.0
483,LMT,LOCKHEED MARTI,Lockheed Martin Corp,50201020.0
484,LNC,LINCOLN NATL,Lincoln National Corp,30301010.0
485,LNT.O,ALLIANT ENERGY,Alliant Energy Corp,65101015.0
486,LOPE.O,GRAND CANYON E,Grand Canyon Education Inc,40201010.0
487,LOW,LOWES COMPANIE,Lowe's Companies Inc,40401025.0
488,LPX,LOUISIANA PACI,Louisiana-Pacific Corp,50101035.0
489,LRCX.O,LAM RESEARCH,Lam Research Corp,10102020.0
490,LSCC.O,LATTICE SEMIC,Lattice Semiconductor Corp,10102010.0
491,LSI,LIFE STORAGE I,Life Storage Inc,35102050.0
492,LSTR.O,LANDSTAR SYS,Landstar System Inc,50206010.0
493,LULU.O,LULULEMON ATHL,Lululemon Athletica Inc,40204020.0
494,LUMN.K,LUMEN TCHNLG O,Lumen Technologies Inc,15102015.0
495,LUV,SW AIRLINES,Southwest Airlines Co,40501010.0
496,LVS,LAS VEGAS SAND,Las Vegas Sands Corp,40501020.0
497,LW,LAMB WESTON HL,Lamb Weston Holdings Inc,45102020.0
498,LYB,LYONDELLBASEL ,LyondellBasell Industries NV,55201020.0
499,LYV,LIVE NATION EN,Live Nation Entertainment Inc,40501030.0
500,MA,MASTERCARD I O,Mastercard Inc,50205015.0
501,MAA,MID AM APT COM,Mid-America Apartment Communities Inc,35102040.0
502,MAC,MACERICH,Macerich Co,35102045.0
503,MAN,MANPOWER GROUP,ManpowerGroup Inc,50205025.0
504,MANH.O,MANHATTAN ASSO,Manhattan Associates Inc,10101015.0
505,MAR.O,MARRIOTT INTER,Marriott International Inc,40501025.0
506,MAS,MASCO CORP,Masco Corp,50101035.0
507,MASI.O,MASIMO CORP,Masimo Corp,20102010.0
508,MAT.O,MATTEL INC,Mattel Inc,40203045.0
509,MCD,MCDONALD'S COR,Mcdonald's Corp,40501040.0
510,MCHP.O,MICROCHIP TECH,Microchip Technology Inc,10102010.0
511,MCK,MCKESSON CRP,Mckesson Corp,45201015.0
512,MCO,MOODY'S,Moody's Corp,30201030.0
513,MCY,MERCURY GENERL,Mercury General Corp,30302025.0
514,MDLZ.O,MONDELEZ INT C,Mondelez International Inc,45102020.0
515,MDT,MEDTRONIC PLC,Medtronic PLC,20102010.0
516,MDU,MDU RESOURCES,MDU Resources Group Inc,50101035.0
517,MEDP.O,MEDPACE HOLDIN,Medpace Holdings Inc,20103010.0
518,MELI.O,MERCADOLIBRE,Mercadolibre Inc,40201070.0
519,MET,METLIFE INC,MetLife Inc,30301010.0
520,MGM,MGM RESORTS IN,MGM Resorts International,40501020.0
521,MHK,MOHAWK INDS,Mohawk Industries Inc,40202015.0
522,MIDD.O,THE MIDDLEBY,Middleby Corp,50204000.0
523,MKC,MCCORMICK & CO,McCormick & Company Inc,45102020.0
524,MKSI.O,MKS INSTRUMENT,MKS Instruments Inc,50202020.0
525,MKTX.O,MARKETAXESS,Marketaxess Holdings Inc,30202015.0
526,MLHR.O,HERMAN MILLER,Herman Miller Inc,40202015.0
527,MLM,M MARIETTA,Martin Marietta Materials Inc,50101035.0
528,MMC,MARSH & MCLENN,Marsh & McLennan Companies Inc,30302015.0
529,MMM,3M COMPANY,3M Co,50203000.0
530,MMS,MAXIMUS,Maximus Inc,50205020.0
531,MNST.O,MONSTER BEV CO,Monster Beverage Corp,45101020.0
532,MO,ALTRIA GROUP,Altria Group Inc,45103010.0
533,MOH,MOLINA HLTHCAR,Molina Healthcare Inc,20101020.0
534,MOS,MOSAIC COMPANY,Mosaic Co,55201015.0
535,MPC,MARTHN PETRO,Marathon Petroleum Corp,60101020.0
536,MPW,MEDICAL PRPS T,Medical Properties Trust Inc,35102010.0
537,MPWR.O,MONOLITHIC POW,Monolithic Power Systems Inc,10102010.0
538,MRCY.O,MERCURY SYSTEM,Mercury Systems Inc,50201020.0
539,MRK,MERCK & CO,Merck & Co Inc,20103015.0
540,MRNA.O,MODERNA INC,Moderna Inc,20103010.0
541,MRO,MARATHON OIL,Marathon Oil Corp,60101010.0
542,MRVL.O,MRVL TCHNLGY O,Marvell Technology Inc,
543,MS,MORGAN STANLEY,Morgan Stanley,30202015.0
544,MSA,MSA SAFETY INC,MSA Safety Inc,50202020.0
545,MSCI.K,MSCI,MSCI Inc,30201030.0
546,MSFT.O,MICROSOFT CP,Microsoft Corp,10101015.0
547,MSI,MOTOROLA SOL,Motorola Solutions Inc,15101010.0
548,MSM,MSC INDUSTRIAL,MSC Industrial Direct Co Inc,50205010.0
549,MTB,M&T BANK CRP,M&T Bank Corp,30101010.0
550,MTCH.O,MTCH GRP INC O,Match Group Inc,10101020.0
551,MTD,METTLER-TOLEDO,Mettler-Toledo International Inc,50202025.0
552,MTG,MGIC INV CP,MGIC Investment Corp,30201025.0
553,MTX,MINERALS TECH,Minerals Technologies Inc,55101000.0
554,MTZ,MASTEC INC,MasTec Inc,50101015.0
555,MU.O,MICRON TECH,Micron Technology Inc,10102010.0
556,MUR,MURPHY OIL COR,Murphy Oil Corp,60101010.0
557,MUSA.K,MURPHY USA INC,Murphy Usa Inc,40401030.0
